Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
35,1117.6016150762862,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 43, 42, 46, 68, 0, 10, 11, 2, 0, 74, 72, 61, 64, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 99, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 95, 94, 92, 93, 97, 100, 0, 96, 0",6.139,1117.6,17
41,1075.8868997610682,"0, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 43, 42, 44, 45, 48, 51, 50, 52, 49, 47, 0, 20, 21, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0, 23, 22, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 41, 40, 46, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 24, 25, 27, 29, 30, 28, 26, 34, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 10, 11, 2, 0, 66, 0, 83, 82, 84, 85, 88, 89, 91, 0, 90, 87, 86, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",7.051,1075.89,17
56,1015.9435525181594,"0, 0, 20, 21, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 69, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 43, 42, 46, 0, 10, 11, 2, 0, 90, 87, 86, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 83, 82, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",9.299,1015.94,15
66,991.1357344458006,"0, 0, 20, 21, 0, 43, 42, 44, 45, 48, 51, 50, 52, 49, 47, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 10, 11, 2, 0, 41, 40, 46, 0, 90, 87, 86, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 83, 82, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",10.761,991.14,15
68,978.4094057733598,"0, 0, 20, 21, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 83, 82, 84, 85, 88, 89, 91, 0, 10, 11, 9, 6, 4, 1, 75, 0, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 5, 3, 7, 8, 2, 0, 43, 42, 0, 90, 87, 86, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",11.052,978.41,15
74,961.7160077930264,"0, 0, 20, 21, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 75, 0, 5, 3, 7, 8, 9, 6, 4, 1, 0, 43, 42, 44, 45, 48, 51, 50, 52, 49, 47, 0, 10, 11, 2, 0, 41, 40, 46, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",11.908,961.72,15
84,937.989753584261,"0, 0, 20, 21, 0, 43, 42, 46, 45, 48, 51, 50, 52, 49, 47, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0, 41, 40, 44, 66, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 10, 11, 2, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0",13.323,937.99,14
87,929.5115636049854,"0, 0, 20, 21, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 43, 42, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 10, 11, 2, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 46, 0",13.75,929.51,14
92,889.5499820941118,"0, 0, 20, 21, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 10, 11, 9, 6, 4, 1, 75, 0, 5, 3, 7, 8, 2, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",14.476,889.55,13
115,889.5499820941117,"0, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 20, 21, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 10, 11, 9, 6, 4, 1, 75, 0, 5, 3, 7, 8, 2, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",17.711,889.55,13
137,886.0452242422982,"0, 0, 20, 21, 0, 5, 3, 7, 8, 2, 1, 75, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 10, 11, 9, 6, 4, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",20.768,886.05,13
140,877.3844570335153,"0, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0, 20, 10, 11, 9, 6, 4, 1, 75, 0, 5, 3, 7, 8, 2, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0",21.188,877.38,12
147,877.3844570335152,"0, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0, 20, 10, 11, 9, 6, 4, 1, 75, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 5, 3, 7, 8, 2, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",22.162,877.38,12
171,873.8796991817015,"0, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0, 5, 3, 7, 8, 2, 1, 75, 0, 20, 10, 11, 9, 6, 4, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",25.484,873.88,12
